date,Q,P,Q_interp,Q_filled
1982-05-02,0.0,5.393898549587709,0.0,0.0
1982-05-03,0.0,3.8357314894221783,0.0,0.0
1982-05-04,0.0,1.6400534499389057,0.0,0.0
1982-05-05,0.0,4.592450584130986,0.0,0.0
1982-05-06,0.0,3.60967379477068,0.0,0.0
1982-05-07,0.0,6.773792141808513,0.0,0.0
1982-05-08,0.0,4.0339781970106525,0.0,0.0
1982-05-09,0.0,1.9906159035961788,0.0,0.0
1982-05-10,0.0,2.6648376299578596,0.0,0.0
1982-05-11,0.0,3.223808557352888,0.0,0.0
1982-05-12,0.0,1.5825945666991483,0.0,0.0
1982-05-13,0.0,2.770979000472948,0.0,0.0
1982-05-14,0.0,2.4350921782676616,0.0,0.0
1982-05-15,0.0,4.023948854219172,0.0,0.0
1982-05-16,0.0,10.82052819577401,0.0,0.0
